OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
907	FR10	FR	Île de France	Île de France	Ile de France	&#x00CE;le de France
908	FR101	FR	Paris	Paris	Paris	Paris
909	FR102	FR	Seine-et-Marne	Seine-et-Marne	Seine-et-Marne	Seine-et-Marne
910	FR103	FR	Yvelines	Yvelines	Yvelines	Yvelines
911	FR104	FR	Essonne	Essonne	Essonne	Essonne
912	FR105	FR	Hauts-de-Seine	Hauts-de-Seine	Hauts-de-Seine	Hauts-de-Seine
913	FR106	FR	Seine-Saint-Denis	Seine-Saint-Denis	Seine-Saint-Denis	Seine-Saint-Denis
914	FR107	FR	Val-de-Marne	Val-de-Marne	Val-de-Marne	Val-de-Marne
915	FR108	FR	Val-d'Oise	Val-d'Oise	Val-d'Oise	Val-d'Oise
916	FR2	FR	Bassin Parisien	Bassin Parisien	Bassin Parisien	Bassin Parisien
917	FR21	FR	Champagne-Ardenne	Champagne-Ardenne	Champagne-Ardenne	Champagne-Ardenne
918	FR211	FR	Ardennes	Ardennes	Ardennes	Ardennes
919	FR212	FR	Aube	Aube	Aube	Aube
920	FR213	FR	Marne	Marne	Marne	Marne
921	FR214	FR	Haute-Marne	Haute-Marne	Haute-Marne	Haute-Marne
922	FR22	FR	Picardie	Picardie	Picardie	Picardie
923	FR221	FR	Aisne	Aisne	Aisne	Aisne
924	FR222	FR	Oise	Oise	Oise	Oise
925	FR223	FR	Somme	Somme	Somme	Somme
926	FR23	FR	Haute-Normandie	Haute-Normandie	Haute-Normandie	Haute-Normandie
927	FR231	FR	Eure	Eure	Eure	Eure
928	FR232	FR	Seine-Maritime	Seine-Maritime	Seine-Maritime	Seine-Maritime
929	FR24	FR	Centre	Centre	Centre	Centre
930	FR241	FR	Cher	Cher	Cher	Cher
931	FR242	FR	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir	Eure-et-Loir
932	FR243	FR	Indre	Indre	Indre	Indre
933	FR244	FR	Indre-et-Loire	Indre-et-Loire	Indre-et-Loire	Indre-et-Loire
934	FR245	FR	Loir-et-Cher	Loir-et-Cher	Loir-et-Cher	Loir-et-Cher
935	FR246	FR	Loiret	Loiret	Loiret	Loiret
936	FR25	FR	Basse-Normandie	Basse-Normandie	Basse-Normandie	Basse-Normandie
937	FR251	FR	Calvados	Calvados	Calvados	Calvados
938	FR252	FR	Manche	Manche	Manche	Manche
939	FR253	FR	Orne	Orne	Orne	Orne
940	FR26	FR	Bourgogne	Bourgogne	Bourgogne	Bourgogne
941	FR261	FR	Côte-d'Or	Côte-d'Or	Cote-d'Or	C&#x00F4;te-d'Or
942	FR262	FR	Nièvre	Nièvre	Nievre	Ni&#x00E8;vre
943	FR263	FR	Saône-et-Loire	Saône-et-Loire	Saone-et-Loire	Sa&#x00F4;ne-et-Loire
944	FR264	FR	Yonne	Yonne	Yonne	Yonne
945	FR3	FR	Nord - Pas-de-Calais	Nord - Pas-de-Calais	Nord - Pas-de-Calais	Nord - Pas-de-Calais
946	FR30	FR	Nord - Pas-de-Calais	Nord - Pas-de-Calais	Nord - Pas-de-Calais	Nord - Pas-de-Calais
947	FR301	FR	Nord	Nord	Nord	Nord
948	FR302	FR	Pas-de-Calais	Pas-de-Calais	Pas-de-Calais	Pas-de-Calais
949	FR4	FR	Est	Est	Est	Est
950	FR41	FR	Lorraine	Lorraine	Lorraine	Lorraine
951	FR411	FR	Meurthe-et-Moselle	Meurthe-et-Moselle	Meurthe-et-Moselle	Meurthe-et-Moselle
952	FR412	FR	Meuse	Meuse	Meuse	Meuse
953	FR413	FR	Moselle	Moselle	Moselle	Moselle
954	FR414	FR	Vosges	Vosges	Vosges	Vosges
955	FR42	FR	Alsace	Alsace	Alsace	Alsace
956	FR421	FR	Bas-Rhin	Bas-Rhin	Bas-Rhin	Bas-Rhin
957	FR422	FR	Haut-Rhin	Haut-Rhin	Haut-Rhin	Haut-Rhin
958	FR43	FR	Franche-Comté	Franche-Comté	Franche-Comte	Franche-Comt&#x00E9;
959	FR431	FR	Doubs	Doubs	Doubs	Doubs
960	FR432	FR	Jura	Jura	Jura	Jura
961	FR433	FR	Haute-Saône	Haute-Saône	Haute-Saone	Haute-Sa&#x00F4;ne
962	FR434	FR	Territoire de Belfort	Territoire de Belfort	Territoire de Belfort	Territoire de Belfort
963	FR5	FR	Ouest	Ouest	Ouest	Ouest
964	FR51	FR	Pays de la Loire	Pays de la Loire	Pays de la Loire	Pays de la Loire
965	FR511	FR	Loire-Atlantique	Loire-Atlantique	Loire-Atlantique	Loire-Atlantique
966	FR512	FR	Maine-et-Loire	Maine-et-Loire	Maine-et-Loire	Maine-et-Loire
967	FR513	FR	Mayenne	Mayenne	Mayenne	Mayenne
968	FR514	FR	Sarthe	Sarthe	Sarthe	Sarthe
969	FR515	FR	Vendée	Vendée	Vendee	Vend&#x00E9;e
970	FR52	FR	Bretagne	Bretagne	Bretagne	Bretagne
971	FR521	FR	Côtes-d'Armor	Côtes-d'Armor	Cotes-d'Armor	C&#x00F4;tes-d'Armor
972	FR522	FR	Finistère	Finistère	Finistere	Finist&#x00E8;re
973	FR523	FR	Ille-et-Vilaine	Ille-et-Vilaine	Ille-et-Vilaine	Ille-et-Vilaine
974	FR524	FR	Morbihan	Morbihan	Morbihan	Morbihan
975	FR53	FR	Poitou-Charentes	Poitou-Charentes	Poitou-Charentes	Poitou-Charentes
976	FR531	FR	Charente	Charente	Charente	Charente
977	FR532	FR	Charente-Maritime	Charente-Maritime	Charente-Maritime	Charente-Maritime
978	FR533	FR	Deux-Sèvres	Deux-Sèvres	Deux-Sevres	Deux-S&#x00E8;vres
979	FR534	FR	Vienne	Vienne	Vienne	Vienne
